,titulo,clasificacion,duracion,genero,año,tipo_de_audio,sinopsis
82,Caracortada online,SAM16,169 MIN,"ACCIÓN, CRIMEN",1983,ESTÉREO,"Cuando Fidel Castro abrió la frontera para que los cubanos que tuviesen familia en Miami pudieran salir, 125 mil personas salieron de Cuba con sueños de libertad y de una nueva vida."
83,Crepúsculo la saga: Luna Nueva online,SAM13,130 MIN,"DE AVENTURAS, DRAMA",2009,SONIDO ENVOLVENTE 5.1,"A Bella se le parte el corazón cuando la familia Cullen decide mudarse para poner fin a su relación con el vampiro Edward. Ella busca consuelo en su amigo Jacob, y comienza a preguntarse si podrían"
84,RED: Retirados Extremadamente Duros online,SAM13,111 MIN,"ACCIÓN, COMEDIA",2010,SONIDO ENVOLVENTE 5.1,"Cuando un agente retirado de la CIA es el objetivo de un asesino mortal, llama a sus viejos amigos del trabajo en un intento de conocer la verdad mientras se mantiene alejado de las garras del"
85,La reina online,SAM13,103 MIN,"BIOGRÁFICA, DRAMA",2006,SONIDO ENVOLVENTE 5.1,Hellen Mirren ganó el Oscar a Mejor Actriz en 2006 por su brillante retrato de la Reina Isabel cuando lidiaba con la trágica muerte de la Princesa Diana.
86,Los juegos del hambre: Sinsajo - Parte 1 online,SAM13,122 MIN,"ACCIÓN, DE AVENTURAS",2014,SONIDO ENVOLVENTE 5.1,"El fenómeno mundial continúa. Katniss (Jennifer Lawrence) sobrevivió y destruyó los Juegos del Hambre, y ahora se levanta con el Distrito 13 para luchar contra el presidente Snow (Donald Sutherland)."
87,La enfermera online,SAM16,83 MIN,"ERÓTICA, DE TERROR",2014,ESTÉREO,"Durante el día, la enfermera Abby Russell se ocupa con cariño de los pacientes de All Saints Memorial Hospital; durante la noche, merodea por los clubes nocturnos, seduciendo a hombres infieles a"
88,Recuérdame online,SAM16,112 MIN,"DRAMA, ROMÁNTICA",2010,SONIDO ENVOLVENTE 5.1,"Una joven estudiante con problemas se enamora de una chica después de un encuentro casual. Ambos llegan aceptan sus tragedias personales que ayudan a sanar entre sí, pero pronto la verdad detrás de su"
89,Los juegos del hambre: En llamas online,SAM13,146 MIN,"ACCIÓN, DE AVENTURAS",2013,SONIDO ENVOLVENTE 5.1,"Katniss Everdeen ha regresado a casa a salvo después de ganar los 74º juegos anuales del Hambre. Siente que una rebelión se avecina, pero el Capitolio todavía está en control, ya que los Próximos"
90,Maria Antonieta La Reina Adolescente online,SAM13,122 MIN,DRAMA,2006,SONIDO ENVOLVENTE 5.1,"La historia de Marie-Antoinette, una ingenua austriaca de 14 años que se casó con Luís XVI sin estar preparada para los problemas políticos de ser la Reina de Francia durante la Revolución Francesa."
91,Después Del Sexo online,SAM16,77 MIN,"COMEDIA, DRAMA",2007,ESTÉREO,"¿De qué hablamos cuando el sexo termina? Conoce a ocho parejas -heterosexuales y gays, vírgenes y extraños, amantes, mentirosos, engañadores y swingers."
92,Sicario online,SAM16,121 MIN,"ACCIÓN, SUSPENSO",2015,SONIDO ENVOLVENTE 5.1,"En el área fronteriza y anárquica que se extiende entre los Estados Unidos y México, una agente idealista del FBI es reclutada por un funcionario gubernamental élite para ayudar en la creciente guerra"
93,Golpe en londres online,SAM16,95 MIN,ACCIÓN,2017,ESTÉREO,"Un atraco a un banco sale mal y alguien es asesinado, pero las cosas pueden no ser lo que parecen."
94,Día del atentado online,SAM16,133 MIN,"ACCIÓN, DRAMA",2016,SONIDO ENVOLVENTE 5.1,La historia del bombardeo de la maratón de Boston del 2013 y la búsqueda de personas en la ciudad para encontrar a los terroristas responsables.
95,John Wick 2: Un nuevo día para matar online,SAM16,122 MIN,ACCIÓN,2017,SONIDO ENVOLVENTE 5.1,"En esta secuela del éxito de 2014, el legendario asesino John Wick (Keanu Reeves) se ve obligado a salir del retiro por un ex-asociado que planea obtener el control de un misterioso grupo"
96,El grito online,SAM13,91 MIN,"SUSPENSO, MISTERIO/SUSPENSO",2004,SONIDO ENVOLVENTE 5.1,Karen es una enfermera estadounidense que vive en Tokio y está expuesta a una misteriosa maldición sobrenatural. La maldición es un espíritu vengativo que posee a una persona en una rabia poderosa
97,De Tyler Perry: ¿Por qué me casé también? online,SAM13,120 MIN,"COMEDIA, DRAMA",2010,SONIDO ENVOLVENTE 5.1,"Con el mismo elenco carismático de la exitosa comedia dramática, ""¿Por qué me casé?"", Tyler Perry nos trae el siguiente capítulo en la vida de ocho amigos de la universidad que luchan con los desafíos"
