,titulo,clasificacion,episodios,genero,año,sinopsis
24,The White Princess,SAM16,8 EPISODIOS,"DRAMA, LITERARIA",2017,“The White Princess” representa una turbulenta época de la historia británica desde la visión de las mujeres que encarnan una dura batalla por e
25,The Act,SAM16,8 EPISODIOS,"DOCUDRAMA, DRAMA",2019,"De los escritores Nick Antosca (""Channel Zero"") y Michelle Dean llega ""The Act"", una serie psicológica y antológica de crímenes reales que cuenta las insólitas histori"
26,Penny Dreadful,SAM16,27 EPISODIOS,DRAMA,2014 - 2016,"Penny Dreadful es un thriller psicológico lleno de un oscuro misterio y de suspenso, donde los demonios personales del pasado pueden ser más fuertes que los vampiros, l"
27,Black Sails,SAM16,38 EPISODIOS,"DRAMA, ACCIÓN",2014 - 2017,"La aventura pirata ""Black Sails"", se centra en las historias del capitán Flint y su notoria tripulación mientras luchan por la fortuna y la supervivencia antes de l"
28,The Night Manager,SAM13,6 EPISODIOS,"CRIMEN, DRAMA",2016,"""The Night Manager"" es un apasionante thriller de espionaje, muestra las andanzas del ex soldado inglés Jonathan Pine (Hiddleston), que, tras incorporarse al servicio "
29,The Name of the Rose,SAM16,8 EPISODIOS,DRAMA,2019,"En 1327, un brillante monje franciscano ingés, Guillermo de Baskerville, es enviado por el Santo Imperio Romano a un monasterio aislado al norte de Italia para un dramáti"
30,No Man's Land,SAM16,9 EPISODIOS,"DRAMA, GUERRA",2020,"La hermana de Antoine lleva varios años declarada muerta, pero él está convencido de que está viva. Viaja a Siria, donde las combatientes kurdas luchan cont"
31,Dr. Death: The Undoctored Story,SAM13,4 EPISODIOS,"DOCUMENTAL, DRAMA",2021,"""Dr. Death: The Undoctored Story"" es la primera docuserie sobre el Dr. Christopher Duntsch, el notorio neurocirujano, cuya historia impactante ha cautivado a"
32,The Borgias,SAM16,29 EPISODIOS,DRAMA,2011 - 2013,"Sexo. Poder. Asesinato. Amén. Jeremy Irons, ganador del Oscar®, protagoniza esta nueva y épica serie original de Showtime, The Borgias, la historia explosiva de la prime"
33,Wrong Man,SAM16,13 EPISODIOS,"DOCUMENTAL, DRAMA",2018 - 2020,Un equipo de expertos junto con investigadores locales buscan la verdad que hay detrás de casos criminales de convictos que fueron encarcelados por décadas y que presum
34,Step Up,SAM13,20 EPISODIOS,"DRAMA, MÚSICA",2018 - 2019,"Basada en las películas favoritas de los fans, la serie Step Up es un drama emocionante, sexy, y lleno de música sobre bailarines en una escuela de artes escénic"
35,Hightown,SAM16,19 EPISODIOS,"CRIMEN, DRAMA",2020 - 2021,"Ambientada en el bello, pero sombrío, Cabo Cod, esta serie, narra el camino de una mujer para dejar las drogas y el alcohol. Pero todo es eclipsado por una investigación p"
36,Dublin Murders,SAM16,9 EPISODIOS,"CRIMEN, DRAMA",2019,"“Dublin Murders” es una serie de misterio de ocho episodios con una trama que se adentra profundamente en el pasado de Irlanda, presagia su presente y brinda una percepci"
37,Rosemary's Baby,SAM13,2 EPISODIOS,SUSPENSO,2014,"""Rosemary's Baby"" es la nueva versión de la novela de superventas de Ira levin, que sigue a una mujer embarazada quien descubre una trama siniestra alrededor de su bebé "
